EIN	FISYR	NTEE	TOTALREVCURRENT	WEBSITE	TWITTERHANDLE
341826214	2014	A01	471249.0	WWW.ADELANTETOLEDO.ORG	['https://twitter.com/adelantetoledo']
133912334	2014	A01	498044.0	WWW.AUBINPICTURES.COM	['https://twitter.com/AubinPics']
450519586	2014	A01	337236.0	HTTP://WWW.CLACKAMASARTSALLIANCE.ORG	['https://twitter.com/ClackamasArts']
743090585	2015	A01	387157.0	UTAHARTS.ORG	['https://twitter.com/UtahArtsAllianc']
760801275	2014	A01	261339.0	creativealliancemke.org	['https://twitter.com/pD2LFo0HaEWExyc']
20584427	2014	A01	454577.0	northwindarts.org	[]
450430021	2014	A01	112525.0	WWW.ARTWISE4KIDS.COM	['http://www.twitter.com/artwise4kids', 'https://twitter.com/artwise4kids']
621791387	2014	A01	650717.0	WWW.URBANARTCOMMISSION.ORG	[]
270096223	2015	A0120	244150.0	WWW.ARTSANDCULTUREALLIANCE.ORG	[]
731704355	2015	A0123	206068.0	awcaa.org	[]
753195347	2015	A0123	207299.0	www.mcatexas.com	['https://twitter.com/mcatexas']
364120950	2014	A0123	645954.0	WWW.MHFA.NET	['https://twitter.com/MHFACPAs/']
760016192	2014	A0125	1064410.0	WWW.TAEA.ORG	[]
311017260	2014	A0125	476051.0	WWW.OAAE.NET	[]
861072914	2015	A0130	69116.0	WWW.DIRTTHEMOVIE.ORG/	['http://twitter.com/DirttheMovie/status/743579903279439873', 'https://twitter.com/DirttheMovie']
341841587	2014	A0130	135586.0	WWW.SUMMITARTSPACE.ORG	['https://twitter.com/akronareaarts']
383584919	2015	A0130	156570.0	INDEPTHLEARNING.ORG	['http://twitter.com/rmidgley1']
954819071	2014	A0130	2663790.0	WWW.PARENTSTV.ORG	['https://twitter.com/ThePTC']
363965646	2014	A0130	299586.0	WWW.CERCA.ORG	[]
470873119	2014	A0140	95432.0	WWW.HARLEMAA.ORG	[]
204240088	2015	A0160	214981.0	WWW.ARTSCHARLESTON.ORG	[]
581726305	2014	A0161	197140.0	milledgevillealliedarts.com	[]
161621916	2014	A0165	2131790.0	WWW.AANDM.NET	[]
562464486	2014	A016E	13409191.0	WWW.BELTLINE.ORG	['https://twitter.com/share?url=https://beltline.org&text=Atlanta Beltline&hashtags=BeltLine', 'https://twitter.com/atlantabeltline']
911352168	2015	A0170	153547.0	www.clarionwest.org	['https://twitter.com/ClarionWest']
261469065	2014	A0170	247722.0	WWW.ALLELMARINO.ORG	[]
20541202	2014	A0180	1345874.0	WWW.ACTAONLINE.ORG	['https://twitter.com/caltradarts']
20665897	2015	A02	246492.0	www.yatescommunitycenter.org	[]
562609577	2015	A02	1681446.0	www.rapidresults.org	['http://twitter.com/rriimpact']
463109411	2014	A02	735814.0	WWW.CULTURETRUSTPHILA.ORG	['https://twitter.com/PHLCultureWorks']
132869113	2014	A02	828552.0	www.meredithmonk.org	['https://twitter.com/meredith_monk']
463018925	2014	A02	1786498.0	GAILLARDCENTER.COM	['https://twitter.com/gaillardcenter']
840840730	2015	A0223	88372.0	WWW.COLORADOQUILTCOUNCIL.COM	[]
742445135	2014	A0225	236301.0	www.thebac.org	[]
133170827	2014	A0226	1942662.0	WWW.ARTSTRATEGIES.ORG	['https://twitter.com/ArtStrategies']
383677365	2015	A0230	235918.0	WWW.ICST.ORG	[]
411738240	2014	A0233	127172.0	WWW.PIMN.ORG	['https://twitter.com/PrintingMW']
272179313	2014	A0240	54863.0	WWW.STONESOUPWORCESTER.ORG	[]
202732038	2014	A0261	141086.0	WWW.WAMOTUCSON.ORG	[]
222383501	2014	A0265	823358.0	WWW.NJTHEATREALLIANCE.ORG	['https://twitter.com/NJTheatre']
942917575	2015	A0265	183316.0	www.circuitnetwork.com	[]
208139539	2014	A0268	785763.0	WWW.NOMAF.ORG	[]
311614268	2013	A026E	12360.0	tamizdat.org	['https://twitter.com/tamizdatinc']
232062595	2014	A03	1195888.0	WWW.CHORUSAMERICA.ORG	['http://twitter.com/chorusamerica']
382117855	2014	A03	713242.0	WWW.MSVMA.ORG	['https://twitter.com/MSVMAssociation']
926003435	2014	A03	371794.0	WWW.FAIRBANKSARTS.ORG	['https://twitter.com/@fairbanksarts/']
930773613	2014	A03	319360.0	WWW.HORNSOCIETY.ORG	['https://twitter.com/hornsocietyIHS']
260428687	2015	A03	257595.0	WWW.ISMTE.ORG	['https://twitter.com/ISMTE']
236290450	2015	A03	848374.0	PMEA.NET	['http://twitter.com/pmeastate']
580969761	2014	A03	319965.0	ATLANTAPRESSCLUB.ORG	['https://twitter.com/atlpressclub?lang=en']
412081766	2014	A03	1068724.0	www.eighthblackbird.org	[]
953497056	2014	A03	689910.0	WWW.WESTARTS.ORG	['https://twitter.com/ArtsMidwest', 'https://twitter.com/westarts/status/1319398558265561088', 'http://www.twitter.com/westarts/', 'https://twitter.com/westarts/status/1318944315444318209', 'https://twitter.com/westarts', 'https://twitter.com/nyfacurrent']
135564941	2015	A03	795406.0	THEHYMNSOCIETY.ORG	[]
66071077	2014	A03	703062.0	WWW.CMEA.ORG	['https://twitter.com/intent/tweet?in_reply_to=1141153682370834434&related=CTMusicEd', 'https://twitter.com/CTMusicEd', 'https://twitter.com/CTMusicEd/status/1141153682370834434', 'https://twitter.com/CTMusicEd/status/1237795313420767232', 'https://twitter.com/intent/tweet?in_reply_to=1237795313420767232&related=CTMusicEd', 'https://twitter.com/intent/like?tweet_id=1237795313420767232&related=CTMusicEd', 'https://twitter.com/intent/retweet?tweet_id=1141153682370834434&related=CTMusicEd', 'https://twitter.com/intent/tweet?in_reply_to=1238456379515568128&related=CTMusicEd', 'https://twitter.com/CTMusicEd/status/1141440607812030464', 'https://twitter.com/CTMusicEd/status/1166379759808520193', 'https://twitter.com/intent/retweet?tweet_id=1238456379515568128&related=CTMusicEd', 'https://twitter.com/intent/retweet?tweet_id=1141440607812030464&related=CTMusicEd', 'https://twitter.com/CTMusicEd/status/1238456379515568128', 'https://twitter.com/intent/like?tweet_id=1141153682370834434&related=CTMusicEd', 'https://twitter.com/intent/like?tweet_id=1141440607812030464&related=CTMusicEd', 'https://twitter.com/intent/retweet?tweet_id=1166379759808520193&related=CTMusicEd', 'https://twitter.com/intent/like?tweet_id=1166379759808520193&related=CTMusicEd', 'https://twitter.com/intent/tweet?in_reply_to=1166379759808520193&related=CTMusicEd', 'https://twitter.com/intent/tweet?in_reply_to=1141440607812030464&related=CTMusicEd', 'https://twitter.com/intent/retweet?tweet_id=1237795313420767232&related=CTMusicEd', 'https://twitter.com/intent/like?tweet_id=1238456379515568128&related=CTMusicEd']
61625278	2014	A03	5947937.0	WWW.CAPA.COM	['https://www.twitter.com/capacolumbus']
592318742	2014	A03	1434831.0	WWW.FLMUSIC.ORG/FBA/DNN/	[]
226079249	2015	A03	281864.0	http://www.midatlanticdistrict.com	[]
840930711	2014	A03	498242.0	WWW.CMEAONLINE.ORG	[]
742281076	2014	A03	340729.0	WWW.HEADLINERSFOUNDATIONS.ORG	[]
770106735	2014	A03	1886746.0	WWW.IACR.ORG	['//twitter.com/IACR_News']
261532493	2014	A03	606571.0	WWW.AE911TRUTH.ORG	['https://twitter.com/ae911truth?lang=en']
741874580	2014	A03	1537359.0	www.bayoucityartfestival.com	['https://twitter.com/houstonartfest']
222273558	2014	A03	318017.0	NAST.ARTS-ACCREDIT.ORG	[]
620913689	2014	A0320	2462870.0	WWW.NASAA-ARTS.ORG	['https://twitter.com/nasaa_arts']
951921157	2014	A0320	951981.0	CHORISTERSGUILD.ORG	['https://twitter.com/ChoristersGuild']
526105010	2014	A0323	345336.0	WWW.NAJA.COM	['https://twitter.com/najournalists/']
42761924	2014	A0325	987391.0	WWW.DMI.ORG	['https://twitter.com/DMIfeed']
810626181	2014	A0325	242319.0	WWW.WMHFA.ORG	[]
830453019	2015	A0325	604315.0	none	[]
411890854	2014	A0325	241413.0	www.nemaa.org	['https://twitter.com/NemaaMN']
521377610	2015	A0326	491648.0	ARTLEAGUEOFOCEANCITY.ORG	['https://twitter.com/ArtLeagueOC']
593527410	2014	A0326	266806.0	www.gatewaycenterforthearts.org	[]
362523982	2014	A0326	342128.0	WWW.NORTHSHOREARTLEAGUE.ORG	[]
26009812	2015	A0326	133165.0	NHARTASSOCIATION.ORG	[]
356007147	2014	A0330	3725978.0	WWW.NATCOM.ORG	['https://twitter.com/intent/user?screen_name=NatComm', 'http://www.twitter.com/NatComm']
510166741	2014	A0330	3227384.0	WWW.IRE.ORG	['https://twitter.com/IRE_NICAR']
480676860	2014	A0330	1657246.0	WWW.AEJMC.ORG	[]
300507986	2014	A0331	736539.0	WWW.CINEMARTSOCIETY.ORG	['https://twitter.com/CinemaHTX', 'https://twitter.com/intent/tweet?text=https://www.youtube.com/watch?v=6-bvLyJa5t4+HCAF 2020 Virtual Launch Party']
521338829	2014	A0331	1097478.0	WWW.AFCI.ORG	['https://twitter.com/wearetheafci']
521170071	2014	A0332	3514707.0	www.apts.org	['https://twitter.com/aptstweet ']
132983705	2014	A0332	1235939.0	WWW.NYWIFT.ORG	['https://twitter.com/NYWIFT?ref_src=twsrc%5Etfw', 'http://www.twitter.com/nywift']
131624188	2015	A0332	5389996.0	WWW.SMPTE.ORG	['http://twitter.com/smpteconnect']
132506620	2014	A0333	1906623.0	WWW.AAUPNET.ORG	['https://twitter.com/aupresses', 'https://twitter.com/hashtag/AUPresses20']
721579572	2014	A0340	280325.0	WWW.DECORATIVEARTSSOCIETY.NET	[]
861150456	2014	A0340	796479.0	www.tex-arts.org	['https://twitter.com/texarts']
141369329	2014	A0340	281551.0	WWW.WOODSTOCKART.ORG	[]
300255276	2015	A0340	113906.0	WWW.AIDAARTS.ORG	[]
866052750	2015	A0340	89877.0	www.yumafinearts.org	[]
721579572	2015	A0340	244224.0	WWW.DECORATIVEARTSSOCIETY.NET	[]
222207869	2014	A0340	733573.0	www.glassart.org	[]
133300462	2015	A0340	26910.0	WWW.NYARTISTSEQUITY.ORG	['https://twitter.com/ArtistsEquity']
231352299	2014	A0340	1036061.0	WWW.PSA-PHOTO.ORG	['https://twitter.com/PSA_Photo']
237309306	2014	A0340	466704.0	WWW.TENNESSEECRAFT.ORG	['https://twitter.com/TennesseeCraft']
20234385	2014	A0340	1378302.0	WWW.NHCRAFTS.ORG	['https://twitter.com/LeagueofNHcraft']
411313017	2014	A0340	248248.0	WWW.GREATART.ORG	['//twitter.com/share?text=&url=;source=webclient']
371050610	2014	A0350	164690.0	WWW.MIDWESTMUSEUMS.ORG	['https://twitter.com/midwestmuseums']
530205889	2015	A0350	10902484.0	WWW.AAM-US.ORG	['https://twitter.com/AAMers']
526044269	2014	A0350	992287.0	WWW.MUSEUMSTOREASSOCIATION.ORG	['https://twitter.com/MSAconnect']
237117775	2014	A0350	196000.0	WWW.MPMA.NET	['https://twitter.com/mpma1']
741896510	2014	A0350	241916.0	www.texasmuseums.org	['https://twitter.com/TexasMuseums']
526044269	2015	A0350	1088775.0	WWW.MUSEUMSTOREASSOCIATION.ORG	['https://twitter.com/MSAconnect']
954087882	2014	A0352	2185240.0	WWW.CHILDRENSMUSEUMS.ORG	[]
562203984	2014	A0357	118760.0	WWW.GRASSROOTS-SCIENCE.ORG	[]
620695676	2014	A0360	4980393.0	ACDA.ORG	['https://twitter.com/ACDANational']
742235431	2015	A0360	1246985.0	WWW.ISPA.ORG	['https://twitter.com/ISPA_global']
461912406	2014	A0360	16940104.0	LEPAA.ORG	['https://twitter.com/LEPAALubbock']
136136259	2014	A0360	38373747.0	www.carnegiehall.org	['https://twitter.com/carnegiehall']
680214830	2014	A0361	221354.0	NorthTahoe Arts.com	[]
237370520	2014	A0361	205522.0	WWW.ARTSNC.ORG	[]
592701031	2014	A0362	402266.0	NONE	[]
470692296	2014	A0365	645219.0	WWW.AACT.ORG	['https://twitter.com/AACT_Community']
631133823	2015	A0365	223425.0	WWW.NHCT.ORG	['http://twitter.com/newhorizont']
510183348	2014	A0365	953828.0	LASTAGEALLIANCE.COM	['https://twitter.com/LAStageAlliance']
591084518	2014	A0365	1317344.0	WWW.SETC.ORG	['https://twitter.com/setctweet']
133441160	2014	A0365	732618.0	WWW.NAMT.ORG	['http://twitter.com/namt']
130431730	2014	A0368	2779886.0	WWW.AGOHQ.ORG	[]
510138229	2014	A0368	707684.0	WWW.NJMEA.ORG	['https://twitter.com/NJMEA']
840945046	2015	A0368	576021.0	WWW.DENVERBRASS.ORG	['https://twitter.com/DenverBrass']
237205938	2014	A0368	189729.0	WWW.FFMC-MUSIC.ORG	[]
561081959	2014	A0368	924592.0	WWW.NCMEA.NET	['https://twitter.com/NCMEA']
111976465	2015	A0368	3805960.0	WWW.NYSSMA.ORG	['https://twitter.com/OfficialNYSSMA']
132934575	2014	A0368	1632277.0	WWW.CHAMBER-MUSIC.ORG	['https://twitter.com/CMA_Tweets', 'http://www.twitter.com/CMA_tweets']
205196415	2014	A0368	1660674.0	WWW.CLEVELANDORCHESTRAMIAMI.COM	[]
951114004	2015	A0370	230474.0	WWW.ARIAH.INFO	[]
941698556	2014	A0370	3648363.0	WWW.SCA.ORG	['https://twitter.com/scasocial']
521180656	2014	A0370	320957.0	WWW.LANGUAGEPOLICY.ORG	['https://twitter.com/JNCLInfo']
390962197	2014	A0380	1457827.0	WWW.AASLH.ORG	['https://twitter.com/AASLH']
382575338	2014	A0380	260880.0	WWW.OLDTOWNARTS.ORG	[]
510183294	2015	A0380	262434.0	www.20thcentury.org	[]
591867553	2014	A0380	382643.0	WWW.TAMPA-ROUGHRIDERS.ORG	[]
953891279	2014	A0380	336797.0	www.lals.org	[]
953080681	2014	A0380	109147.0	sbgen.org	[]
382575338	2013	A0380	284242.0	WWW.OLDTOWNARTS.ORG	[]
616030993	2015	A0380	302961.0	HTTP://WWW.UGA.EDU/SHA/	[]
900674673	2015	A0382	225293.0	huu-cha.org	[]
900674673	2014	A0382	232702.0	huu-cha.org	[]
205061881	2014	A05	455502.0	www.greatnonprofits.org	['https://twitter.com/GreatNonprofits']
474110671	2015	A05	589576.0	WWW.CARDIOLOGYCENTER.NET	['https://twitter.com/ShahawyDr']
314273500	2014	A0520	5063244.0	WWW.ORTONCERAMIC.COM	['https://twitter.com/OrtonCeramic']
132623376	2014	A0520	683318.0	WWW.IFAR.ORG	[]
541429009	2014	A0530	15283711.0	WWW.MRC.ORG	['http://twitter.com/theMRC', 'http://www.twitter.com/#!/theMRC']
621138444	2015	A0570	2992315.0	HTTP://WWW.JOHNANKERBERG.ORG	['https://twitter.com/johnankerberg']
237164776	2015	A0580	254339.0	WWW.PILSUDSKI.ORG	['https://twitter.com/PilsudskiUSA']
570981947	2014	A11	395952.0	WWW.KAMINSKIMUSEUM.ORG	[]
203402547	2014	A11	4514042.0	www.connerprairie.org	['https://twitter.com/connerprairie/']
341401540	2014	A11	324806.0	www.brunswickhsbands.org	[]
166037537	2014	A11	191973.0	CHAUTAUQUAWOMENSCLUB.ORG	[]
593679477	2014	A11	1884170.0	WWW.SUN-N-FUN.ORG	[]
161613963	2014	A11	1036404.0	www.wnedfoundation.org	[]
60966206	2014	A11	182278.0	newtownbandandguard.weebly.com	['https://twitter.com/nhsbpc']
592376906	2014	A11	210802.0	WWW.YPO-MIAMI.ORG	['https://twitter.com/operapatroness']
134104282	2014	A11	125608.0	WWW.CAREERBRIDGES.ORG	[]
916067431	2014	A11	2699267.0	www.wingluke.org	[]
363940161	2015	A11	256955.0	www.leaplearningsystems.org	['https://twitter.com/LEAPempowers']
382647323	2014	A11	197945.0	WWW.MICHAMBER.COM	['https://twitter.com/michamber']
942382459	2014	A11	1030977.0	WWW.PAACF.ORG	['https://twitter.com/PaloAltoArt?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor']
541240860	2014	A11	209735.0	WWW.WOODSONBAND.ORG	[]
481113679	2014	A11	321051.0	bowluscenter.org	['https://twitter.com/bowluscenter']
311021023	2014	A11	107888.0	WWW.DAYTONOPERA.ORG	['https://twitter.com/daytonopera']
131624006	2014	A11	190564.0	WWW.FONTAINEBLEAUSCHOOL.ORG	[]
232732238	2014	A11	494107.0	WWW.BBCFOUNDATION.ORG	[]
522150703	2014	A11	1095297.0	WWW.PGAAMCC.ORG	[]
860955776	2014	A11	74155.0	NONE	[]
911185129	2014	A1120	804267.0	www.pacwen.org	['https://twitter.com/NumericaPAC']
330625499	2014	A1120	513263.0	TORRANCEARTS.ORG	['https://twitter.com/torrancearts']
